country_name,year,gdp_growth,unemployment,inflation
Australia,1988,5.76137011855324,,7.21593968766828
Australia,1989,3.87901779350344,,7.53390256152688
Australia,1990,3.57297569098456,,7.33302195235872
Australia,1991,-0.384631357046658,9.586,3.17667536988685
Australia,1992,0.433065864126704,10.733,1.01223112610714
Australia,1993,4.04583374101011,10.879,1.75365344467641
Australia,1994,3.97884434177331,9.724,1.96963479688141
Australia,1995,3.89017188961647,8.473,4.62776659959759
Australia,1996,3.86567479160071,8.509,2.61538461538461
Australia,1997,3.91795814771731,8.367,0.224887556221887
Australia,1998,4.67681373479508,7.684,0.860134629768142
Australia,1999,5.02822035850596,6.876,1.48312940304041
Australia,2000,3.9160574881715,6.288,4.45743514797224
Australia,2001,2.03145880248898,6.747,4.40713536201469
Australia,2002,3.94980535772942,6.375,2.98157453936348
Australia,2003,3.0912800997751,5.933,2.73259596616786
Australia,2004,4.21894147547516,5.399,2.34325522482583
Australia,2005,3.15548121323168,5.036,2.69183168316832
Australia,2006,2.7709261737475,4.785,3.55528773727026
Australia,2007,3.78947119882653,4.381,2.32761128891476
Australia,2008,3.62398503565633,4.242,4.35029854990048
Australia,2009,1.95484826298522,5.565,1.77111716621254
Australia,2010,2.21004795300735,5.214,2.91834002677376
Australia,2011,2.39473494330615,5.083,3.3038501560874
Australia,2012,3.95247138119184,5.225,1.76278015613196
Australia,2013,2.65445302592404,5.663,2.4498886414254
Australia,2014,2.60118978187332,6.078,2.48792270531404
Australia,2015,2.16434780647852,6.055,1.50836672165921
Australia,2016,2.75564065529868,5.711,1.27699094497324
Australia,2017,2.29331030192918,5.592,1.94864740944527
Australia,2018,2.87417039499501,5.345,1.91140094445691
Australia,2019,2.19401703622717,5.143,1.61076787290379
Australia,2020,-0.133531904304775,6.394,0.846905537459305
Austria,1988,3.2958798164712,,1.91571684671258
Austria,1989,3.88707478685015,,2.56834829029372
Austria,1990,4.34564183768971,,3.26187231878578
Austria,1991,3.44162748808654,3.42,3.33742703474788
Austria,1992,2.0935244262602,3.59,4.02084780038557
Austria,1993,0.526809769496765,4.25,3.63178524943176
Austria,1994,2.40211843259056,3.535,2.95340936761079
Austria,1995,2.66798388882503,4.345,2.24336631500905
Austria,1996,2.21576713087359,5.282,1.86097115760433
Austria,1997,2.1458350552646,5.15,1.30597857227693
Austria,1998,3.49288002962309,5.483,0.922467196680799
Austria,1999,3.76192435190464,4.699,0.568993765885568
Austria,2000,3.18952292988787,4.687,2.34486285357282
Austria,2001,1.31698749571339,4.007,2.65000077279528
Austria,2002,1.48436877605324,4.852,1.81035787764127
Austria,2003,1.14156504542775,4.779,1.35555370896452
Austria,2004,2.56525534067859,5.969,2.06120618032862
Austria,2005,2.32036514266782,5.682,2.29913785639285
Austria,2006,3.26933601506059,5.32,1.4415485111902
Austria,2007,3.77522468729185,4.909,2.16855528800749
Austria,2008,1.45330562142114,4.198,3.21595033239886
Austria,2009,-3.58626472551299,5.371,0.506308827696515
Austria,2010,1.80898243043663,4.883,1.81353438995062
Austria,2011,2.92746800169145,4.637,3.2865791487538
Austria,2012,0.628246239479637,4.909,2.48567562177015
Austria,2013,-0.250726423318454,5.367,2.00015616900597
Austria,2014,0.755798850316665,5.674,1.60581182954474
Austria,2015,1.30352331826198,5.802,0.89656333526032
Austria,2016,2.11721964494312,6.064,0.891591752655362
Austria,2017,2.27224992038207,5.561,2.08126911385587
Austria,2018,2.48422114080024,4.933,1.9983798142954
Austria,2019,1.75497619649288,4.56,1.53089564152644
Austria,2020,-6.31825509209936,5.201,1.38191063351862
Belgium,1988,4.72320872854138,,1.16093493415325
Belgium,1989,3.46916697570174,,3.10705065111094
